id,slug,name,gyg_id,gyg_url,status,confidence
946,baile-herculane,Băile Herculane,169162,https://www.getyourguide.com/romania-l169162/,ok,low
947,calarasi,Călărași,169162,https://www.getyourguide.com/romania-l169162/,ok,low
948,oltenita,Oltenița,,,not_found,not_found
949,budesti,Budești,169162,https://www.getyourguide.com/romania-l169162/,ok,low
950,fundulea,Fundulea,,,not_found,not_found
951,lehliu-gara,Lehliu Gară,,,not_found,not_found
952,sfantu-gheorghe,Sfântu Gheorghe,169162,https://www.getyourguide.com/romania-l169162/,ok,low
953,targu-secuiesc,Târgu Secuiesc,,,not_found,not_found
954,covasna,Covasna,169162,https://www.getyourguide.com/romania-l169162/,ok,low
955,baraolt,Baraolt,,,not_found,not_found
956,intorsura-buzaului,Întorsura Buzăului,,,not_found,not_found
957,targoviste,Târgoviște,185430,https://www.getyourguide.com/judetul-dambovita-l185430/,ok,low
958,moreni,Moreni,,,not_found,not_found
959,pucioasa,Pucioasa,,,not_found,not_found
960,gaesti,Găești,,,not_found,not_found
961,titu,Titu,,,not_found,not_found
962,fieni,Fieni,,,not_found,not_found
963,targu-jiu,Târgu Jiu,,,not_found,not_found
964,motru,Motru,,,not_found,not_found
965,rovinari,Rovinari,,,not_found,not_found
966,bumbesti-jiu,Bumbești-Jiu,,,not_found,not_found
967,targu-carbunesti,Târgu Cărbunești,,,not_found,not_found
968,novaci,Novaci,,,not_found,not_found
969,ranca,Rânca,,,not_found,not_found
970,giurgiu,Giurgiu,169162,https://www.getyourguide.com/romania-l169162/,ok,low
971,bolintin-vale,Bolintin-Vale,,,not_found,not_found
972,mihailesti,Mihăilești,,,not_found,not_found
973,miercurea-ciuc,Miercurea Ciuc,,,not_found,not_found
974,odorheiu-secuiesc,Odorheiu Secuiesc,169162,https://www.getyourguide.com/romania-l169162/,ok,low
975,gheorgheni,Gheorgheni,169162,https://www.getyourguide.com/romania-l169162/,ok,low
976,toplita,Toplița,,,not_found,not_found
977,cristuru-secuiesc,Cristuru Secuiesc,,,not_found,not_found
978,balan,Bălan,,,not_found,not_found
979,borsec,Borsec,,,not_found,not_found
980,praid,Praid,,,not_found,not_found
981,lacul-rosu,Lacul Roșu,169162,https://www.getyourguide.com/romania-l169162/,ok,low
982,slobozia,Slobozia,169162,https://www.getyourguide.com/romania-l169162/,ok,low
983,fetesti,Fetești,,,not_found,not_found
984,urziceni,Urziceni,,,not_found,not_found
985,tandarei,Țăndărei,,,not_found,not_found
986,amara,Amara,,,not_found,not_found
987,baia-mare,Baia Mare,169162,https://www.getyourguide.com/romania-l169162/,ok,low
988,sighetu-marmatiei,Sighetu Marmației,169162,https://www.getyourguide.com/romania-l169162/,ok,low
989,borsa,Borșa,,,not_found,not_found
990,baia-sprie,Baia Sprie,599,https://www.getyourguide.com/campania-l599/,ok,low
991,cavnic,Cavnic,,,not_found,not_found
992,viseu-de-sus,Vișeu de Sus,169162,https://www.getyourguide.com/romania-l169162/,ok,low
993,seini,Seini,,,not_found,not_found
994,tautii-magheraus,Tăuții-Măgherăuș,,,not_found,not_found
995,sapanta,Săpânța,169162,https://www.getyourguide.com/romania-l169162/,ok,low
996,drobeta-turnu-severin,Drobeta-Turnu Severin,169162,https://www.getyourguide.com/romania-l169162/,ok,low
997,orsova,Orșova,169162,https://www.getyourguide.com/romania-l169162/,ok,low
998,strehaia,Strehaia,,,not_found,not_found
999,vanju-mare,Vânju Mare,169035,https://www.getyourguide.com/coreea-de-sud-l169035/,ok,low
1000,baia-de-arama,Baia de Aramă,121525,https://www.getyourguide.com/theth-l121525/,ok,low
1001,piatra-neamt,Piatra Neamț,169162,https://www.getyourguide.com/romania-l169162/,ok,low
1002,roman,Roman,,,not_found,not_found
1003,targu-neamt,Târgu Neamț,,,not_found,not_found
1004,bicaz,Bicaz,,,not_found,not_found
1005,roznov,Roznov,,,not_found,not_found
1006,durau,Durău,,,not_found,not_found
1007,slatina,Slatina,,,not_found,not_found
1008,caracal,Caracal,,,not_found,not_found
1009,corabia,Corabia,,,not_found,not_found
1010,bals,Balș,,,not_found,not_found
1011,scornicesti,Scornicești,,,not_found,not_found
1012,draganesti-olt,Drăgănești-Olt,,,not_found,not_found
1013,satu-mare,Satu Mare,169162,https://www.getyourguide.com/romania-l169162/,ok,low
1014,carei,Carei,,,not_found,not_found
1015,negresti-oas,Negrești-Oaș,,,not_found,not_found
1016,tasnad,Tășnad,,,not_found,not_found
1017,livada,Livada,,,not_found,not_found
1018,ardud,Ardud,,,not_found,not_found
1019,zalau,Zalău,,,not_found,not_found
1020,simleu-silvaniei,Șimleu Silvaniei,169162,https://www.getyourguide.com/romania-l169162/,ok,low
1021,jibou,Jibou,,,not_found,not_found
1022,cehu-silvaniei,Cehu Silvaniei,,,not_found,not_found
1023,alexandria,Alexandria,490,https://www.getyourguide.com/alexandria-l490/,ok,high
1024,rosiori-de-vede,Roșiori de Vede,121525,https://www.getyourguide.com/theth-l121525/,ok,low
1025,turnu-magurele,Turnu Măgurele,,,not_found,not_found
1026,zimnicea,Zimnicea,,,not_found,not_found
1027,videle,Videle,,,not_found,not_found
1028,tulcea,Tulcea,2659,https://www.getyourguide.com/tulcea-l2659/,ok,high
1029,macin,Măcin,,,not_found,not_found
1030,babadag,Babadag,,,not_found,not_found
1031,isaccea,Isaccea,,,not_found,not_found
1032,sulina,Sulina,2658,https://www.getyourguide.com/judetul-tulcea-l2658/,ok,low
1033,murighiol,Murighiol,2658,https://www.getyourguide.com/judetul-tulcea-l2658/,ok,low
1034,ramnicu-valcea,Râmnicu Vâlcea,169162,https://www.getyourguide.com/romania-l169162/,ok,low
1035,dragasani,Drăgășani,,,not_found,not_found
1036,baile-govora,Băile Govora,,,not_found,not_found
1037,baile-olanesti,Băile Olănești,,,not_found,not_found
1038,calimanesti,Călimănești,,,not_found,not_found
1039,horezu,Horezu,169162,https://www.getyourguide.com/romania-l169162/,ok,low
1040,brezoi,Brezoi,,,not_found,not_found
1041,berbesti,Berbești,,,not_found,not_found
1042,voineasa,Voineasa,,,not_found,not_found
1043,vaslui,Vaslui,169162,https://www.getyourguide.com/romania-l169162/,ok,low
1044,barlad,Bârlad,,,not_found,not_found
1045,husi,Huși,,,not_found,not_found
1046,negresti,Negrești,,,not_found,not_found
1047,murgeni,Murgeni,,,not_found,not_found
1048,focsani,Focșani,,,not_found,not_found
1049,adjud,Adjud,,,not_found,not_found
1050,marasesti,Mărășești,,,not_found,not_found
1051,panciu,Panciu,,,not_found,not_found
1052,odobesti,Odobești,,,not_found,not_found
