"wp_product_id","description"
"587831","reducere pana pe 10 martie"
"587832","reducere pana pe 10 martie"
"587833","reducere pana pe 10 martie"
"588247","reducere pana pe 10 martie"
"588251","reducere pana pe 10 martie"
"588252","reducere pana pe 10 martie"
"588506","reducere pana pe 10 martie"
"588507","reducere pana pe 10 martie"
"588526","Reducere primele bilete"
"588533","Reducere pana pe 24.04.2025"
"588841","reducere primele bilete"
"589123","reducere pana pe 21.03.2025"
"589146","Bilet (doar pentru bărbați)"
"589561","acest bilet nu garantează loc la masă"
"589592","1 sticlă alcool- consumație minimă obligatorie"
"589727","nu asigura loc"
"590018","reducere primele bilete"
"590037","Reducere primele bilete"
"590038","Reducere pana pe 26.04.2025"
"590053","Reducere primele bilete"
"591027","reducere primele bilete"
"591028","reducere pana pe 29.04.2025"
"592119","Se prezintă actul doveditor la acces"
"592517","reducere pana pe 20.03.2025"
"592963","reducere primele bilete"
"593022","reducere primele bilete"
"593389","reducere primele bilete"
"593391","reducere primele bilete (valabil 2 zile la alegere)"
"593401","reducere primele bilete (valabil 3 zile la alegere)"
"593402","reducere primele abonamente"
"593642","Se prezintă actul doveditor la acces"
"593643","Se prezintă actul doveditor la acces"
"593644","Se prezintă actul doveditor la acces"
"593680","Se prezintă actul doveditor la acces"
"594232","reducere primele bilete"
"594270","adauga in cos 10 bucati"
"594279","reducere primele bilete"
"594469","reducere pana pe 18.03.2025"
"594471","*la acces se prezinta carnet elev/student"
"594570","reducere primele bilete"
"594884","reducere pana pe 05.04.2025"
"594885","reducere pana pe 11 mai"
"594943","reducere primele bilete"
"594956","reducere primele bilete"
"595159","Se prezintă actul doveditor la acces"
"595184","Se prezintă actul doveditor la acces"
"595282","Se prezintă actul doveditor la acces"
"595302","reducere primele bilete"
"595339","se cumpara pachetul de 10 locuri"
"595546","minim 4 bucati la achizitie"
"595547","reducere primele bilete"
"595751","reducere primele bilete"
"595756","reducere primele bilete"
"595944","reducere primele bilete"
"596217","reducere primele bilete"
"596218","reducere pana pe 24.04.2025"
"596292","reducere primele bilete"
"596301","Se prezintă actul doveditor la acces"
"597587","reducere primele bilete"
"599129","biletele de camping sunt valabile doar însoţite de un bilet valid de acces în festival"
"599131","biletele de camping sunt valabile doar însoţite de un bilet valid de acces în festival"
"599143","biletele de camping sunt valabile doar însoţite de un bilet valid de acces în festival"
"599149","biletele de camping sunt valabile doar însoţite de un bilet valid de acces în festival"
"599152","biletele de camping sunt valabile doar însoţite de un bilet valid de acces în festival"
"599160","biletele de camping sunt valabile doar însoţite de un bilet valid de acces în festival"
"599172","camping valabil doar însoţit de bilet valid de acces"
"599176","biletele de camping sunt valabile doar însoţite de un bilet valid de acces în festival"
"599183","parcare asigurata pe toată durata festivalului"
"599187","Parcare asigurată pe toată durata festivalului"
"599241","reducere primele abonamente"
"599745","reducere primele bilete"
