"wp_order_id","order_status","coupon_codes","discount_amount","order_total"
"782499","wc-completed","HaiLaQfeel!","40","172.00"
"782407","wc-cancelled","HaiLaQfeel!","24","103.50"
"782391","wc-completed","HaiLaQfeel!","30","129.00"
"782187","wc-completed","HaiLaQfeel!","40","172.00"
"780805","wc-completed","HaiLaQfeel!","50","215.00"
"780109","wc-completed","HaiLaQfeel!","24","103.20"
"778962","wc-completed","HaiLaQfeel!","20","86.00"
"778871","wc-processing","Caria100#","60","0.00"
"778814","wc-completed","HaiLaQfeel!","12","51.60"
"778063","wc-completed","REV20","160","680.00"
"777981","wc-completed","Rev20","320","1360.00"
"777964","wc-completed","Rev20","320","1360.00"
"777877","wc-completed","REV13","104","736.00"
"777834","wc-completed","HaiLaQfeel!","48","206.40"
"777687","wc-completed","Rev13","104","736.00"
"777018","wc-completed","HaiLaQfeel!","16","69.00"
"776829","wc-completed","HaiLaQfeel!","12","51.60"
"776472","wc-completed","HaiLaQfeel!","20","86.00"
"776343","wc-completed","Hailaqfeel!","16","69.00"
"776291","wc-completed","HaiLaQfeel!","24","103.50"
"775859","wc-completed","HaiLaQfeel!","60","258.00"
"775803","wc-completed","HaiLaQfeel!","72","309.60"
"775788","wc-completed","HaiLaQfeel!","40","172.00"
"775489","wc-completed","Hailaqfeel!","24","103.20"
"775326","wc-completed","HaiLaQfeel!","24","103.20"
"775159","wc-completed","HaiLaQfeel!","40","172.00"
"773864","wc-completed","HaiLaQfeel!","24","103.20"
"773721","wc-completed","HaiLaQfeel!","24","103.20"
"773714","wc-completed","HaiLaQfeel!","40","172.00"
"773577","wc-completed","Hailaqfeel!","12","51.60"
"773249","wc-cancelled","HaiLaQfeel!","48","206.40"
"772938","wc-completed","Hailaqfeel!","36","154.80"
"772899","wc-completed","HaiLaQfeel!","48","206.40"
"772848","wc-completed","HaiLaQfeel!","36","154.80"
"772840","wc-completed","HaiLaQfeel!","24","103.20"
"772732","wc-completed","HaiLaQfeel!","12","51.60"
"772705","wc-completed","HaiLaQfeel!","12","51.60"
"772700","wc-completed","HaiLaQfeel!","48","206.40"
"772696","wc-completed","Hailaqfeel!","36","154.80"
"772676","wc-completed","HaiLaQfeel!","24","103.50"
"772597","wc-completed","HaiLaQfeel!","24","103.50"
"772571","wc-completed","HailaQfeel!","16","69.00"
"772513","wc-completed","HaiLaQfeel!","32","138.00"
"772423","wc-completed","HaiLaQfeel!","40","172.00"
"772417","wc-completed","HaiLaQfeel!","16","69.00"
"772361","wc-completed","HaiLaQfeel!","24","103.50"
"772358","wc-completed","HaiLaQfeel!","20","86.00"
"772353","wc-completed","HaiLaQfeel!","32","138.00"
"772344","wc-completed","HaiLaQfeel!","10","43.00"
"771966","wc-completed","HaiLaQfeel!","24","103.20"
"771953","wc-completed","HaiLaQfeel!","40","172.00"
"771942","wc-completed","HaiLaQfeel!","24","103.50"
"771775","wc-completed","HaiLaQfeel!","32","138.00"
"771733","wc-completed","HaiLaQfeel!","24","103.50"
"771730","wc-completed","HaiLaQfeel!","20","86.00"
"771727","wc-cancelled","HaiLaQfeel!","20","86.00"
"771598","wc-completed","HaiLaQfeel!","20","86.00"
"771372","wc-completed","HaiLaQFeel!","48","207.00"
"771306","wc-completed","HaiLaQfeel!","16","69.00"
"771269","wc-completed","HaiLaQfeel!","24","103.20"
"771248","wc-completed","HaiLaQfeel!","24","103.20"
"771236","wc-completed","HaiLaQfeel!","60","258.00"
"771231","wc-completed","HaiLaQfeel!","48","206.40"
"770809","wc-completed","HaiLaQfeel!","12","51.60"
"770802","wc-completed","HaiLaQfeel!","30","129.00"
"770770","wc-completed","HaiLaQfeel!","20","86.00"
"770750","wc-failed","HaiLaQfeel!","20","86.00"
"770730","wc-completed","HaiLaQfeel!","40","172.00"
"770678","wc-completed","HaiLaQfeel!","24","103.50"
"770566","wc-completed","HaiLaQfeel!","30","129.00"
"770558","wc-processing","Caria100#","90","0.00"
"770389","wc-completed","HaiLaQfeel!","40","172.00"
"770236","wc-completed","HaiLaQfeel!","24","103.20"
"770211","wc-completed","HaiLaQfeel!","20","86.00"
"770093","wc-completed","HaiLaQfeel!","10","43.00"
"770053","wc-completed","HaiLaQfeel!","36","154.80"
"770009","wc-completed","HaiLaQfeel!","48","206.40"
"770005","wc-completed","HaiLaQfeel!","36","154.80"
"769988","wc-completed","HailaQFeel!","12","51.60"
"769800","wc-completed","HaiLaQfeel!","30","129.00"
"769714","wc-completed","HaiLaQfeel!","20","86.00"
"769688","wc-failed","HaiLaQfeel!","40","172.00"
"769596","wc-completed","HaiLaQfeel!","24","103.20"
"769538","wc-completed","HaiLaQfeel!","24","103.20"
"769506","wc-completed","HaiLaQfeel!","36","154.80"
"769264","wc-completed","HaiLaQfeel!","12","51.60"
"769200","wc-completed","HaiLaQfeel!","10","43.00"
"768873","wc-completed","HaiLaQfeel!","24","103.20"
"768826","wc-completed","HaiLaQfeel!","10","43.00"
"768818","wc-completed","HaiLaQfeel!","30","129.00"
"768751","wc-completed","HaiLaQfeel!","24","103.20"
"768726","wc-completed","HaiLaQfeel!","36","154.80"
"768650","wc-cancelled","HaiLaQfeel!","48","206.40"
"768451","wc-completed","HailaQFeel!","24","103.20"
"768285","wc-completed","HailaQfeel!","8","34.50"
"768202","wc-completed","HaiLaQfeel!","24","103.50"
"768183","wc-completed","HaiLaQfeel!","24","103.20"
"768158","wc-completed","Hailaqfeel!","16","69.00"
"768038","wc-completed","Hailaqfeel!","48","206.40"
"767914","wc-completed","Hailaqfeel!","24","103.20"
"767806","wc-completed","HaiLaQfeel!","20","86.00"
"767710","wc-completed","HaiLaQfeel!","24","103.20"
"767485","wc-completed","HaiLaQfeel!","20","86.00"
"767463","wc-completed","HailaQfeel!","10","43.00"
"767453","wc-completed","HaiLaQfeel!","90","387.00"
