"wp_event_id","name","wp_slug","post_status","created_at","organizer_wp_user_id","starts_at","ends_at","location","image_url","ticket_terms","description","duration_type","organizer_email"
"846191","Rapunzel - by Qfeel @ Sala Luceafărul","rapunzel-qfeel-sala-luceafarul-846191","publish","2026-03-20 11:14:37","0","2026-05-17 12:00","2026-05-17 13:00","Sala Luceafarul, Bucuresti/str.Ion Ghica nr.3, sector 3",,,,"single_day",
"846208","Rapunzel - by Qfeel @ Campina","rapunzel-by-qfeel-campina-846208","publish","2026-03-20 11:37:29","0","2026-06-06 11:00","2026-06-06 11:55","Casa Tineretului, Campina",,,,"single_day",
"846252","Rapunzel - by Qfeel @ Constanta","rapunzel-qfeel-constanta-846252","publish","2026-03-20 12:30:08","0","2026-06-14 10:00","2026-06-14 11:00","Casa de Cultura a Sindicatelor Constanta",,,,"single_day",
"846354","Capra cu trei iezi - teatru pentru copii @ Clubul Țăranului - La Mama","capra-cu-trei-iezi-clubul-taranului-la-mama-846354","publish","2026-03-20 14:09:04","0","2026-04-18 11:00","2026-04-18 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846401","Povestea celor trei purceluși - teatru de păpuși pentru copii @ Clubul Țăranului - La Mama","povestea-celor-trei-purcelusi-clubul-taranului-la-mama-846401","publish","2026-03-20 14:30:36","0","2026-04-25 11:00","2026-04-25 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846424","Atelierul electricității statice cu Profu' Zăpăcit @ Biblioteca Județeană Gheorghe Șincai","atelierul-electricitatii-statice-profu-zapacit-oradea-846424","publish","2026-03-20 14:44:55","0","2026-04-04 12:00","2026-04-04 12:55","Amfiteatru, Biblioteca Județeană Gheorghe Șincai ,Oradea",,,,"single_day",
"846439","Ursul păcălit de vulpe - teatru pentru copii @ Clubul Țăranului - La Mama MȚR","ursul-pacalit-de-vulpe-clubul-taranului-la-mama-mtr-846439","publish","2026-03-20 15:39:39","0","2026-05-01 11:00","2026-05-01 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846452","Ursul păcălit de vulpe - teatru pentru copii @Clubul Țăranului - La Mama","ursul-pacalit-de-vulpe-clubul-taranului-la-mama-846452","publish","2026-03-20 15:11:55","0","2026-05-16 11:00","2026-05-16 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846490","Povestea celor trei purceluși - teatru de păpuși @Clubul Țăranului - La Mama","povestea-celor-trei-purcelusi-clubul-taranului-la-mama-846490","publish","2026-03-20 15:57:29","0","2026-05-30 11:00","2026-05-30 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846505","Ariciul și Țestoasa Uriașă - teatru pentru copii @ Clubul Țăranului - La Mama","ariciul-si-testoasa-uriasa-clubul-taranului-la-mama-846505","publish","2026-03-20 16:05:11","0","2026-05-02 11:00","2026-05-02 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846534","Tom Degețel - teatru pentru copii @ Clubul Țăranului – La Mama","tom-degetel-clubul-taranului-la-mama-846534","publish","2026-03-20 16:31:03","0","2026-05-23 11:00","2026-05-23 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846547","Magic Fairytale - teatru pentru copii @ Clubul Țăranului - La Mama","magic-fairytale-clubul-taranului-la-mama-846547","publish","2026-03-20 16:46:46","0","2026-06-01 11:00","2026-06-01 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846563","Motanul încălțat - teatru pentru copii @ Clubul Țăranului - La Mama","motanul-incaltat-clubul-taranului-la-mama-846563","publish","2026-03-20 16:55:47","0","2026-05-09 11:00","2026-05-09 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"846819","BluesCore concert la The Pub Universitatii","bluescore-the-pub-universitatii-846819","draft","2026-03-20 20:17:02","0","2026-05-13 20:00","2026-05-13 22:00","The Pub Universitatii/Bd. Regina Elisabeta 9, Sect.3, Bucuresti",,,,"single_day",
"846845","Adelina & THE PARTY HUNTERS @The Pub Universitatii","adelina-the-party-hunters-the-pub-universitatii-846845","draft","2026-03-20 20:55:42","0","2026-04-09 20:00","2026-04-09 22:00","The Pub Universitatii/Bd. Regina Elisabeta 9, Sect.3, Bucuresti",,,,"single_day",
"848282","Pinocchio - by Qfeel @ Pitești","pinocchio-qfeel-pitesti-848282","publish","2026-03-23 10:18:55","0","2026-04-18 11:00","2026-04-18 11:55","Casa de Cultura a Sindicatelor, Pitesti",,,,"single_day",
"848408","Scufita Rosie – by Qfeel @ Sala Luceafarul","scufita-rosie-qfeel-sala-luceafarul-848408","publish","2026-03-23 10:14:17","0","2026-06-13 10:00","2026-06-13 11:00:00","Sala Luceafarul, Bucuresti",,,,"single_day",
"848495","Room for Three - Jazzings - @Acaju","room-for-three-jazzings-acaju-848495","publish","2026-03-23 10:39:02","0","2026-05-14 20:30","2026-05-14 22:00","Acaju, Iasi",,,,"single_day",
"848520","Recital Trioul TANGATA - Jazz Tango @ Targu Jiu","trio-tangata-targu-jiu-848520","publish","2026-03-23 11:03:31","0","2026-06-06 19:00","2026-06-06 20:00","Teatrul Dramatic ""Elvira Godeanu"", Targu Jiu",,,,"single_day",
"848620","Pinocchio - by Qfeel @ Ramnicu Valcea","pinocchio-qfeel-ramnicu-valcea-848620","publish","2026-03-23 12:56:03","0","2026-04-18 18:00","2026-04-18 19:00","Casa de Cultura a Sindicatelor, Ramnicu Valcea",,,,"single_day",
"848662","Rapunzel – by Qfeel @ Ramnicu Valcea","rapunzel-qfeel-ramnicu-valcea-848662","publish","2026-03-23 13:36:54","0","2026-05-09 18:00","2026-05-09 19:00:00","Casa de Cultura a Sindicatelor, Ramnicu Valcea",,,,"single_day",
"848703","Rapunzel – by Qfeel @Campulung Muscel","rapunzel-qfeel-campulung-muscel-848703","publish","2026-03-23 14:12:18","0","2026-05-09 18:00","2026-05-09 19:00:00","Casa de Cultura a Sindicatelor, Campulung Muscel",,,,"single_day",
"848709","Rapunzel – by Qfeel ora 10 @Iasi","rapunzel-by-qfeel-ora-10-iasi-848709","publish","2026-03-23 14:18:50","0","2026-05-16 10:00","2026-05-16 11:00:00","Casa de Cultura a Studentilor Iasi",,,,"single_day",
"848716","Rapunzel – by Qfeel ora 12 @Iasi","rapunzel-qfeel-ora-12-iasi-848716","publish","2026-03-23 14:48:22","0","2026-05-16 12:00","2026-05-16 13:00:00","Casa de Cultura a Studentilor Iasi",,,,"single_day",
"848802","Rapunzel - teatru Qfeel @ Constanta","rapunzel-qfeel-constanta-848802","publish","2026-03-23 16:06:09","0","2026-05-21 18:00","2026-05-21 19:00:00","Casa de Cultura a Sindicatelor Constanta",,,,"single_day",
"848832","Ursul păcălit de vulpe - teatru interactiv pentru copii @Clubul Țăranului - La Mama","ursul-pacalit-de-vulpe-clubul-taranului-la-mama-848832","publish","2026-03-23 17:06:42","0","2026-03-29 11:00","2026-03-29 11:45","Clubul Taranului-La Mama (MTR)",,,,"single_day",
"848853","JAZZY JO Experience | April Soul & Swing @Trattoria Monza","jazzy-jo-trattoria-monza-848853","publish","2026-03-23 17:33:06","0","2026-03-23 17:15","2026-03-23 17:15","Trattoria Monza, Bucuresti",,,,"single_day",
