nume,nume_en,slug,subtitlu,descriere,oras,judet,tip,adresa,latitudine,longitudine,meta_title,meta_description,cuvinte_cheie,imagine_principala,galerie_foto,imagine_credit,cod_lmi
"„Casa gotică”, Str. Bălcescu Nicolae 6",,casa-gotica-str-balcescu-nicolae-6-arad,,,Arad,Arad,cladire-istorica,"Str. Bălcescu Nicolae 6",46.1703,21.3173,,,,,,,AR-II-m-B-00484
"Casă Parohia Bisericii Greco-Catolice)",,casa-parohia-bisericii-greco-catolice-arad,,,Arad,Arad,cladire-istorica,"Str. Blaga Lucian 7",46.1725,21.3146,,,,,,,AR-II-m-B-00486
"Casă, azi parohie evanghelică și locuință Palatul Luther)",,casa-azi-parohie-evanghelica-si-locuinta-palatul-luther-arad,,,Arad,Arad,cladire-istorica,"Str. Blajului 2",46.1772,21.3207,,,,,,,AR-II-m-B-00489
"Casă, Str. Chendi Ilarie 1-3",,casa-str-chendi-ilarie-1-3-arad,,,Arad,Arad,cladire-istorica,"Str. Chendi Ilarie 1-3",46.1753,21.3149,,,,,,,AR-II-m-B-00493
"Casă (cu farmacie) Palatul Kelemen Földes)",,casa-cu-farmacie-palatul-kelemen-foldes-arad,,,Arad,Arad,cladire-istorica,"Str. Cicio-Pop Ștefan 16",46.1719,21.3115,,,,,,,AR-II-m-B-00494
"Casă, Bd. Decebal 14, str. Georgescu, aviator 8",,casa-bd-decebal-14-str-georgescu-aviator-8-arad,,,Arad,Arad,cladire-istorica,"Bd. Decebal 14, str. Georgescu, aviator 8",46.172,21.3184,,,,,,,AR-II-m-B-00496
"Casă Palatul Josef Steiner)",,casa-palatul-josef-steiner-arad,,,Arad,Arad,cladire-istorica,"Bd. Decebal 37",46.1678,21.3201,,,,,,,AR-II-m-B-00497
"Casă, Str. Eminescu Mihai 6",,casa-str-eminescu-mihai-6-arad,,,Arad,Arad,cladire-istorica,"Str. Eminescu Mihai 6",46.1721,21.3142,,,,,,,AR-II-m-B-00501
"Casă, Str. Eminescu Mihai 10",,casa-str-eminescu-mihai-10-arad,,,Arad,Arad,cladire-istorica,"Str. Eminescu Mihai 10",46.1721,21.3137,,,,,,,AR-II-m-B-00502
"Casă, Str. Eminescu Mihai 36",,casa-str-eminescu-mihai-36-arad,,,Arad,Arad,cladire-istorica,"Str. Eminescu Mihai 36",46.1722,21.3102,,,,,,,AR-II-m-B-00504
"Casă Casă de raport), Str. Episcopiei 3",,casa-casa-de-raport-str-episcopiei-3-arad,,,Arad,Arad,cladire-istorica,"Str. Episcopiei 3",46.1757,21.3162,,,,,,,AR-II-m-B-00508
"Casă, Str. Episcopiei 18",,casa-str-episcopiei-18-arad,,,Arad,Arad,cladire-istorica,"Str. Episcopiei 18",46.1753,21.3135,,,,,,,AR-II-m-B-00510
"Casă, Str. Episcopiei 46",,casa-str-episcopiei-46-arad,,,Arad,Arad,cladire-istorica,"Str. Episcopiei 46",46.174,21.3095,,,,,,,AR-II-m-B-00511
"Casă, Str. Gavra Alexandru 6",,casa-str-gavra-alexandru-6-arad,,,Arad,Arad,cladire-istorica,"Str. Gavra Alexandru 6",46.1684,21.31,,,,,,,AR-II-m-B-00513
"Casă, azi grădiniță, Str. Georgescu Ion, doctor 7",,casa-azi-gradinita-str-georgescu-ion-doctor-7-arad,,,Arad,Arad,cladire-istorica,"Str. Georgescu Ion, doctor 7",46.1733,21.3131,,,,,,,AR-II-m-B-00514
"Casă, Str. Georgescu, aviator 11",,casa-str-georgescu-aviator-11-arad,,,Arad,Arad,cladire-istorica,"Str. Georgescu, aviator 11",46.1724,21.3189,,,,,,,AR-II-m-B-00515
"Casa Fiedler, Str. Georgescu, aviator 11A-13",,casa-fiedler-str-georgescu-aviator-11a-13-arad,,,Arad,Arad,cladire-istorica,"Str. Georgescu, aviator 11A-13",46.1724,21.3193,,,,,,,AR-II-m-B-00516
"Casă, Str. Ghiba Birta Elena 16",,casa-str-ghiba-birta-elena-16-arad,,,Arad,Arad,cladire-istorica,"Str. Ghiba Birta Elena 16",46.1807,21.3145,,,,,,,AR-II-m-B-00517
"Casă Vila Ödön Nachtnébel)",,casa-vila-odon-nachtnebel-arad,,,Arad,Arad,cladire-istorica,"Str. Ghiba Birta Elena 18",46.1807,21.3143,,,,,,,AR-II-m-B-00518
"Casă Casa Lipót Bruchner, Casa cu faianța albastră)",,casa-casa-lipot-bruchner-casa-cu-faianta-albastra-arad,,,Arad,Arad,cladire-istorica,"Str. Ghiba Birta Elena 20",46.1808,21.3141,,,,,,,AR-II-m-B-00519
"Casă Vila Sándor Reisinger)",,casa-vila-sandor-reisinger-arad,,,Arad,Arad,cladire-istorica,"Str. Goga Octavian 2",46.17675,21.3145,,,,,,,AR-II-m-B-00520
"Casă Palatul Fényves), Str. Goga Octavian 3",,casa-palatul-fenyves-str-goga-octavian-3-arad,,,Arad,Arad,cladire-istorica,"Str. Goga Octavian 3",46.1764,21.3141,,,,,,,AR-II-m-B-00521
"Casă, Str. Grigorescu Nicolae 7",,casa-str-grigorescu-nicolae-7-arad,,,Arad,Arad,cladire-istorica,"Str. Grigorescu Nicolae 7",46.1778,21.3222,,,,,,,AR-II-m-B-00523
"Casă Palatul Nádasdy), Str. Mețianu 2, Piața Iancu Avram 20",,casa-palatul-nadasdy-str-metianu-2-piata-iancu-avram-20-arad,,,Arad,Arad,cladire-istorica,"Str. Mețianu 2, Piața Iancu Avram 20",46.1705,21.3151,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/Arad%2C_Palatul_Nadasdy.jpg/1280px-Arad%2C_Palatul_Nadasdy.jpg,,"{""author"":""Creator:Sándor Reisinger (1868–?)"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad,_Palatul_Nadasdy.jpg""}",AR-II-m-B-00528
"Casă Casă de raport), Piața Mihai Viteazul 10",,casa-casa-de-raport-piata-mihai-viteazul-10-arad,,,Arad,Arad,cladire-istorica,"Piața Mihai Viteazul 10",46.1797,21.3169,,,,,,,AR-II-m-B-00530
"Casă Casă de raport), Piața Mihai Viteazul 15",,casa-casa-de-raport-piata-mihai-viteazul-15-arad,,,Arad,Arad,cladire-istorica,"Piața Mihai Viteazul 15",46.1787,21.3171,,,,,,,AR-II-m-B-00531
"Casă, Str. Popa de Teiuș Gheorghe 8",,casa-str-popa-de-teius-gheorghe-8-arad,,,Arad,Arad,cladire-istorica,"Str. Popa de Teiuș Gheorghe 8",46.1778,21.3164,,,,,,,AR-II-m-B-00534
"Casă Palatul Rónai), Str. Popa de Teiuș Gheorghe 9",,casa-palatul-ronai-str-popa-de-teius-gheorghe-9-arad,,,Arad,Arad,cladire-istorica,"Str. Popa de Teiuș Gheorghe 9",46.1778,21.3159,,,,,,,AR-II-m-B-00535
"Casă, Str. Preparandiei 2",,casa-str-preparandiei-2-arad,,,Arad,Arad,cladire-istorica,"Str. Preparandiei 2",46.1664,21.3192,,,,,,,AR-II-m-B-00536
"Casă (cu farmacie la parter) Casa Dengl cu farmacia Kárpáti)",,casa-cu-farmacie-la-parter-casa-dengl-cu-farmacia-karpati-arad,,,Arad,Arad,cladire-istorica,"Bd. Revoluției 23, Calea Maniu Iuliu 2",46.1823,21.3239,,,,,,,AR-II-m-B-00538
"Casă Casă de raport), Bd. Revoluției 29",,casa-casa-de-raport-bd-revolutiei-29-arad,,,Arad,Arad,cladire-istorica,"Bd. Revoluției 29",46.1818,21.3232,,,,,,,AR-II-m-B-00539
"Castelul Nopcea, azi Grupul Școlar Forestier Arad",,castelul-nopcea-azi-grupul-scolar-forestier-arad-arad,,,Arad,Arad,castel-palat,,46.155,21.3223,,,,,,,AR-II-m-B-00568
"Antrepozit Antrepozitul Andrényi vechi)",,antrepozit-antrepozitul-andrenyi-vechi-arad,,,Arad,Arad,cladire-istorica,"Str. Unirii 5, str. Georgescu aviator 2-6",46.1716,21.3174,,,,,,,AR-II-m-B-00575
"Antrepozit Antrepozitul Andrényi nou)",,antrepozit-antrepozitul-andrenyi-nou-arad,,,Arad,Arad,cladire-istorica,"Str. Unirii 7, str. Georgescu aviator 2-6",46.1716,21.3176,,,,,,,AR-II-m-B-00576
"Fosta Fabrică de spirt și drojdie „Frații Neumann”",,fosta-fabrica-de-spirt-si-drojdie-fratii-neumann-arad,,,Arad,Arad,cladire-istorica,,46.2017,21.2851,,,,,,,AR-II-m-B-00586
"Statuia Sfântului Florian",,statuia-sfantului-florian-arad,,,Arad,Arad,monument,"Str. Guttenbrunn Adam 135",46.14759,21.32911,,,,,,,AR-III-m-B-00672
"Bustul lui A. D. Xenopol, Piața Enescu George, în fața Palatului Cultural",,bustul-lui-a-d-xenopol-piata-enescu-george-in-fata-palatului-cultural-arad,,,Arad,Arad,monument,"Piața Enescu George, în fața Palatului Cultural",46.17434,21.32018,,,,,,,AR-III-m-B-00670
"Fosta fabrică de bere, azi spații comerciale și birouri",,fosta-fabrica-de-bere-azi-spatii-comerciale-si-birouri-arad,,,Arad,Arad,cladire-istorica,,46.1546,21.3212,,,,,,,AR-II-m-B-00569
"Clinica de pediatrie, Str. Andrenyi Karoly 2-4",,clinica-de-pediatrie-str-andrenyi-karoly-2-4-arad,,,Arad,Arad,cladire-istorica,"Str. Andrenyi Karoly 2-4",46.182,21.3095,,,,,,,AR-II-m-B-00582
"Casa parohială a bisericii romano-catolice Aradu Nou",,casa-parohiala-a-bisericii-romano-catolice-aradu-nou-arad,,,Arad,Arad,cladire-istorica,,46.1543,21.3224,,,,,,,AR-II-m-B-00570
"Fostul sediu al Asociației Generale a Muncitorilor, azi locuințe și sedii comerciale",,fostul-sediu-al-asociatiei-generale-a-muncitorilor-azi-locuinte-si-sedii-comerciale-arad,,,Arad,Arad,monument,"Piața Catedralei 1, Str. Barițiu G. 37",46.17,21.3117,,,,,,,AR-IV-m-B-00686
"Palatul Episcopal Sârbesc",,palatul-episcopal-sarbesc-arad,,,Arad,Arad,castel-palat,"Piața Sârbească 7-8",46.1673,21.3109,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Palatul_s%C3%A2rbesc.JPG/1280px-Palatul_s%C3%A2rbesc.JPG,,"{""author"":""IuliuSturza92"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_sârbesc.JPG""}",AR-II-m-B-00563
"Palatul Kohn din Arad, Str. Episcopiei 9",,palatul-kohn-din-arad-str-episcopiei-9-arad,,,Arad,Arad,castel-palat,"Str. Episcopiei 9",46.1753989,21.3149681,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Palatul_Kohn_Josef.JPG/1280px-Palatul_Kohn_Josef.JPG,,"{""author"":""IuliuSturza92"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_Kohn_Josef.JPG""}",AR-II-m-B-00509
"Palatul Herman Gyula din Arad",,palatul-herman-gyula-din-arad-arad,,,Arad,Arad,castel-palat,"Bd. Revoluției 96",46.1729,21.3158,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f8/Palatul_Herman_Gyula.JPG/1280px-Palatul_Herman_Gyula.JPG,,"{""author"":""IuliuSturza92"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_Herman_Gyula.JPG""}",AR-II-m-B-00556
"Palatul Szantay din Arad, Str. Horia 3-5, str. Episcopiei 2",,palatul-szantay-din-arad-str-horia-3-5-str-episcopiei-2-arad,,,Arad,Arad,castel-palat,"Str. Horia 3-5, str. Episcopiei 2",46.176,21.3163,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/Palatul_Szantay.JPG/1280px-Palatul_Szantay.JPG,,"{""author"":""IuliuSturza92"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_Szantay.JPG""}",AR-II-m-B-00525
"Palatul Neumann din Arad, Bd. Revoluției 78, str. Horia 1",,palatul-neumann-din-arad-bd-revolutiei-78-str-horia-1-arad,,,Arad,Arad,castel-palat,"Bd. Revoluției 78, str. Horia 1",46.1753,21.3174,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Arad_-_Palatul_Neumann_%282023%29_-_img_05.jpg/1280px-Arad_-_Palatul_Neumann_%282023%29_-_img_05.jpg,,"{""author"":""Chainwit."",""license"":""CC BY 4.0"",""license_url"":""https://creativecommons.org/licenses/by/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad_-_Palatul_Neumann_(2023)_-_img_05.jpg""}",AR-II-m-B-00550
"Palatul Andrenyi din Arad",,palatul-andrenyi-din-arad-arad,,,Arad,Arad,castel-palat,"Bd. Revoluției 69",46.1767,21.3195,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4a/Arad_-_Palatul_Copiilor_%282023%29_-_img_05.jpg/1280px-Arad_-_Palatul_Copiilor_%282023%29_-_img_05.jpg,,"{""author"":""Chainwit."",""license"":""CC BY 4.0"",""license_url"":""https://creativecommons.org/licenses/by/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad_-_Palatul_Copiilor_(2023)_-_img_05.jpg""}",AR-II-m-B-00544
"Palatul Administrației Financiare din Arad",,palatul-administratiei-financiare-din-arad-arad,,,Arad,Arad,castel-palat,"Bd. Revoluției 77, Bd. Decebal 2",46.175,21.3188,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/Arad_-_Palatul_Administra%C8%9Biei_Financiare_%22Trezoreria%22_%282023%29_-_img_02.jpg/1280px-Arad_-_Palatul_Administra%C8%9Biei_Financiare_%22Trezoreria%22_%282023%29_-_img_02.jpg,,"{""author"":""Chainwit."",""license"":""CC BY 4.0"",""license_url"":""https://creativecommons.org/licenses/by/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad_-_Palatul_Administrației_Financiare_\""Trezoreria\""_(2023)_-_img_02.jpg""}",AR-II-m-B-00549
"Palatul Bohuș din Arad, Str. Goldiș Vasile 1-3",,palatul-bohus-din-arad-str-goldis-vasile-1-3-arad,,,Arad,Arad,castel-palat,"Str. Goldiș Vasile 1-3",46.1711,21.315,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e8/Palatul_Bohus_vedere_de_ansamblu.jpg/1280px-Palatul_Bohus_vedere_de_ansamblu.jpg,,"{""author"":""IuliuSturza92"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_Bohus_vedere_de_ansamblu.jpg""}",AR-II-m-B-00522
"Palatul Băncii Naționale din Arad",,palatul-bancii-nationale-din-arad-arad,,,Arad,Arad,castel-palat,"Bd. Revoluției 72",46.1764,21.318,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d9/Arad%2C_Palatul_Bancii_Nationale.jpg/1280px-Arad%2C_Palatul_Bancii_Nationale.jpg,,"{""author"":""Turbojet"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad,_Palatul_Bancii_Nationale.jpg""}",AR-II-m-B-00545
"Palatul Cenad din Arad, Bd. Revoluției 73, Bd. Milea Vasile, general 1",,palatul-cenad-din-arad-bd-revolutiei-73-bd-milea-vasile-general-1-arad,,,Arad,Arad,castel-palat,"Bd. Revoluției 73, Bd. Milea Vasile, general 1",46.1761332,21.3190095,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Arad_-_Palatul_Cenad_%282023%29_-_img_01.jpg/1280px-Arad_-_Palatul_Cenad_%282023%29_-_img_01.jpg,,"{""author"":""Chainwit."",""license"":""CC BY 4.0"",""license_url"":""https://creativecommons.org/licenses/by/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad_-_Palatul_Cenad_(2023)_-_img_01.jpg""}",AR-II-m-B-00546
"Palatul Justiției din Arad",,palatul-justitiei-din-arad-arad,,,Arad,Arad,castel-palat,"Str. Milea Vasile, general 2",46.1783,21.3218,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1c/Palatul_de_justi%C8%9Bie.JPG/1280px-Palatul_de_justi%C8%9Bie.JPG,,"{""author"":""IuliuSturza92"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_de_justiție.JPG""}",AR-II-m-B-00532
"Palatul Kovács din Arad, Str. Milea Vasile, general 19, str. Grigorescu Nicolae 8",,palatul-kovacs-din-arad-str-milea-vasile-general-19-str-grigorescu-nicolae-8-arad,,,Arad,Arad,castel-palat,"Str. Milea Vasile, general 19, str. Grigorescu Nicolae 8",46.1777,21.3215,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/Palatul_Kovacs.JPG/1280px-Palatul_Kovacs.JPG,,"{""author"":""Creator: István Babócs"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_Kovacs.JPG""}",AR-II-m-B-00533
"Palatul Suciu, Str. Blajului 3",,palatul-suciu-str-blajului-3-arad,,,Arad,Arad,castel-palat,"Str. Blajului 3",46.1773,21.3208,,,,,,,AR-II-m-B-00490
"Palatul „Tribunei”, azi locuințe Vila dr Oncu)",,palatul-tribunei-azi-locuinte-vila-dr-oncu-arad,,,Arad,Arad,castel-palat,"Str. Eminescu Mihai 37",46.172,21.3089,,,,,,,AR-II-m-B-00505
"Biserica Sârbească din Arad",,biserica-sarbeasca-din-arad-arad,,,Arad,Arad,biserica-manastire,"Piața Sârbească 1",46.1669,21.3118,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0c/Biserica_s%C3%A2rbeasc%C4%83.jpg/1280px-Biserica_s%C3%A2rbeasc%C4%83.jpg,,"{""author"":""IuliuSturza92"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Biserica_sârbească.jpg""}",AR-II-m-B-00562
"Biserica, Str. Dunării 170, Cartier Gai",,biserica-str-dunarii-170-cartier-gai-arad,,,Arad,Arad,biserica-manastire,"Str. Dunării 170, Cartier Gai",46.2184,21.2746,,,,,,,AR-II-m-A-00500.01
"Biserica de lemn „Cuvioasa Paraschiva”",,biserica-de-lemn-cuvioasa-paraschiva-arad,,,Arad,Arad,biserica-manastire,"Str. Andrenyi Karoly 2-4, (în incinta Spitalului clinic județean de urgență)",46.18305,21.3085,,,,,,,AR-II-m-B-00482
"Biserica de lemn „Sf. Apostoli Petru și Pavel”",,biserica-de-lemn-sf-apostoli-petru-si-pavel-arad,,,Arad,Arad,biserica-manastire,"Str. Dunării 170, Cartier Gai, în incinta Mănăstirii „Sf. Simeon Stâlpnicul”-Gai",46.2186,21.2738,,,,,,,AR-II-m-B-00500.05
"Teatrul vechi din Arad, Str. Lazăr Gheorghe 3",,teatrul-vechi-din-arad-str-lazar-gheorghe-3-arad,,"teatru din Arad, România",Arad,Arad,teatru-opera,"Str. Lazăr Gheorghe 3",46.17544444,21.31916667,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d4/Teatrul_Hirschl.JPG/1280px-Teatrul_Hirschl.JPG,,"{""author"":""IuliuSturza92"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Teatrul_Hirschl.JPG""}",AR-II-m-B-00527
"Teatrul Clasic „Ioan Slavici”",,teatrul-clasic-ioan-slavici-arad,,,Arad,Arad,teatru-opera,"Bd. Revoluției 103",46.17109,21.31577,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/Arad_-_Teatrul_%E2%80%9EIoan_Slavici%E2%80%9D_%282023%29_-_img_01.jpg/1280px-Arad_-_Teatrul_%E2%80%9EIoan_Slavici%E2%80%9D_%282023%29_-_img_01.jpg,,"{""author"":""Chainwit."",""license"":""CC BY 4.0"",""license_url"":""https://creativecommons.org/licenses/by/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad_-_Teatrul_„Ioan_Slavici”_(2023)_-_img_01.jpg""}",AR-II-m-B-00561
"Preparandia Română, Str. Preparandiei 13",,preparandia-romana-str-preparandiei-13-arad,,,Arad,Arad,cladire-istorica,"Str. Preparandiei 13",46.1664,21.3173,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/Arad%2C_Preparandia_Romana.jpg/1280px-Arad%2C_Preparandia_Romana.jpg,,"{""author"":""Unknown authorUnknown author"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad,_Preparandia_Romana.jpg""}",AR-II-m-B-00537
"Corpul vechi al chiliilor",,corpul-vechi-al-chiliilor-arad,,,Arad,Arad,cladire-istorica,"Str. Dunării 170, Cartier Gai",46.2184,21.2732,,,,,,,AR-II-m-A-00500.03
"Corpul nou al chiliilor și anexele gospodărești",,corpul-nou-al-chiliilor-si-anexele-gospodaresti-arad,,,Arad,Arad,cladire-istorica,"Str. Dunării 170, Cartier Gai",46.2189,21.2729,,,,,,,AR-II-m-B-00500.04
"Clădirea Diecezanei, Str. Eminescu Mihai 18",,cladirea-diecezanei-str-eminescu-mihai-18-arad,,,Arad,Arad,cladire-istorica,"Str. Eminescu Mihai 18",46.1721,21.313,,,,,,,AR-II-m-B-00503
"Sediul fostei Societăți bancare „Victoria”, azi locuințe și birouri",,sediul-fostei-societati-bancare-victoria-azi-locuinte-si-birouri-arad,,,Arad,Arad,cladire-istorica,"Str. Horia 2",46.1758,21.3178,,,,,,,AR-II-m-B-00524
"Hanul Boul Roșu, Str. Tribunul Dobra 22",,hanul-boul-rosu-str-tribunul-dobra-22-arad,,,Arad,Arad,cladire-istorica,"Str. Tribunul Dobra 22",46.1677,21.3196,,,,https://upload.wikimedia.org/wikipedia/commons/3/35/Aradbourosuhan.jpg,,"{""author"":""Teodor Stoica"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Aradbourosuhan.jpg""}",AR-II-m-B-00574
"Sinagoga Neologă din Arad",,sinagoga-neologa-din-arad-arad,,,Arad,Arad,biserica-manastire,"Str. Tribunul Dobra 10",46.1686,21.3176,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Sinagogaarad232323.jpg,,"{""author"":""Teodor Stoica"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Sinagogaarad232323.jpg""}",AR-II-m-A-00573
"Statuia lui Ioan Nepomuk din Arad",,statuia-lui-ioan-nepomuk-din-arad-arad,,,Arad,Arad,monument,"Str. Episcopiei, la intersecția cu str. Desseanu",46.17309,21.30955,,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Ioan_Nepomuk_Statue.jpg,,"{""author"":""Polistul"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Ioan_Nepomuk_Statue.jpg""}",AR-III-m-A-00671
"Statuia lui Ioan Nepomuk din Arad",,statuia-lui-ioan-nepomuk-din-arad-arad-fb74d0,,,Arad,Arad,monument,"Str. Episcopiei, la intersecția cu str. Desseanu",46.17305881,21.30937815,,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Ioan_Nepomuk_Statue.jpg,,"{""author"":""Polistul"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Ioan_Nepomuk_Statue.jpg""}",AR-III-m-A-00671
"Cazinoul din Arad, Bd. Dragalina Ion, general 27, între Parcul Copiilor și Hotel „Parc”",,cazinoul-din-arad-bd-dragalina-ion-general-27-intre-parcul-copiilor-si-hotel-parc-arad,,,Arad,Arad,cladire-istorica,"Bd. Dragalina Ion, general 27, între Parcul Copiilor și Hotel „Parc”",46.172,21.3205,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4a/Cazinoul_din_Arad.jpg/1280px-Cazinoul_din_Arad.jpg,,"{""author"":""Silenzio76"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Cazinoul_din_Arad.jpg""}",AR-II-m-B-00498
"Mănăstirea Sfântul Simion Stâlpnicul",,manastirea-sfantul-simion-stalpnicul-arad,,,Arad,Arad,biserica-manastire,"Str. Dunării 170, Cartier Gai",46.217339,21.274026,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/85/Arad_Kirche_der_Apostel_Petrus_und_Paulus_3902.jpg/1280px-Arad_Kirche_der_Apostel_Petrus_und_Paulus_3902.jpg,,"{""author"":""Sven Teschke, Büdingen"",""license"":""CC BY-SA 3.0 de"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/de/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Arad_Kirche_der_Apostel_Petrus_und_Paulus_3902.jpg""}",AR-II-a-A-00500
"Cetatea Aradului",,cetatea-aradului-arad,,,Arad,Arad,castel-palat,,46.171019,21.331887,,,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Cetatea_Aradului.png,,"{""author"":""FlorinCB"",""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Cetatea_Aradului.png""}",AR-II-a-A-00475
"Colegiul Național Moise Nicoară",,colegiul-national-moise-nicoara-arad,,"liceu din Arad, România",Arad,Arad,cladire-istorica,"Piața Bibici Margareta 1",46.171,21.3193,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b2/Moise_Nicoara_National_College_-_facade.JPG/1280px-Moise_Nicoara_National_College_-_facade.JPG,,"{""author"":""Eokto"",""license"":""CC BY-SA 3.0 ro"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0/ro/deed.en"",""source"":""https://commons.wikimedia.org/wiki/File:Moise_Nicoara_National_College_-_facade.JPG""}",AR-II-m-B-00485
"Palatul Administrativ din Arad",,palatul-administrativ-din-arad-arad,,,Arad,Arad,cladire-istorica,"Bd. Revoluției 75",46.1754,21.3193,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/Arad%2C_Romania_-_Administrative_Palace_%282023%29.jpg/1280px-Arad%2C_Romania_-_Administrative_Palace_%282023%29.jpg,,"{""author"":""Chainwit."",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Arad,_Romania_-_Administrative_Palace_(2023).jpg""}",AR-II-m-B-00548
