nume,nume_en,slug,subtitlu,descriere,oras,judet,tip,adresa,latitudine,longitudine,meta_title,meta_description,cuvinte_cheie,imagine_principala,galerie_foto,imagine_credit,cod_lmi
"Universitatea de Medicină și Farmacie Grigore T. Popa",,universitatea-de-medicina-si-farmacie-grigore-t-popa-iasi,,"universitate din Iași, România",Iași,Iași,cladire-istorica,"Str. Universității 16",47.1685,27.5848,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2b/UMF_Ia%C8%99i.jpg/1280px-UMF_Ia%C8%99i.jpg,,"{""author"":""UMF Iasi"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:UMF_Iași.jpg""}",IS-II-m-B-04085
"Universitatea de Medicină și Farmacie Grigore T. Popa",,universitatea-de-medicina-si-farmacie-grigore-t-popa-iasi-3eccc5,,"universitate din Iași, România",Iași,Iași,cladire-istorica,"Str. Universității 16",47.1683,27.5847,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2b/UMF_Ia%C8%99i.jpg/1280px-UMF_Ia%C8%99i.jpg,,"{""author"":""UMF Iasi"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:UMF_Iași.jpg""}",IS-II-m-B-04085
"Palatul Cantacuzino-Pașcanu - Primăria veche, azi Starea Civilă",,palatul-cantacuzino-pascanu-primaria-veche-azi-starea-civila-iasi,,,Iași,Iași,castel-palat,"Str. Vasile Alecsandri 8",47.165844,27.581804,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5e/Palatul_Cantacuzino-Pa%C8%99canu_-_Prim%C4%83ria_veche%2C_azi_Starea_Civil%C4%83_%285%29.jpg/1280px-Palatul_Cantacuzino-Pa%C8%99canu_-_Prim%C4%83ria_veche%2C_azi_Starea_Civil%C4%83_%285%29.jpg,,"{""author"":""Manole Alexandru"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Palatul_Cantacuzino-Pașcanu_-_Primăria_veche,_azi_Starea_Civilă_(5).jpg""}",IS-II-m-B-03703
"Casa „Emil Racoviță”, sediu grădiniță",,casa-emil-racovita-sediu-gradinita-iasi,,,Iași,Iași,cladire-istorica,"Str. Catargiu Lascăr 36",47.17379,27.577984,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/Casa_Racovita_din_Iasi.jpg/1280px-Casa_Racovita_din_Iasi.jpg,,"{""author"":""Cezar Suceveanu"",""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Casa_Racovita_din_Iasi.jpg""}",IS-II-m-B-03798
"Procuratură, Str. Conta Vasile 28",,procuratura-str-conta-vasile-28-iasi,,,Iași,Iași,cladire-istorica,"Str. Conta Vasile 28",47.169898,27.577441,,,,,,,IS-II-m-B-03815
"Casa Balș-Sturza, azi Direcția Județeană de Poștă Iași",,casa-bals-sturza-azi-directia-judeteana-de-posta-iasi-iasi,,,Iași,Iași,cladire-istorica,"Str. Cuza Vodă 3",47.165322,27.582883,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Casa_Bals-Sturza10.jpg/1280px-Casa_Bals-Sturza10.jpg,,"{""author"":""Cezar Suceveanu"",""license"":""CC BY 3.0"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Casa_Bals-Sturza10.jpg""}",IS-II-m-B-03839
"Hotel Continental, Str. Cuza Vodă 4, Piața 14 Decembrie 1989",,hotel-continental-str-cuza-voda-4-piata-14-decembrie-1989-iasi,,,Iași,Iași,cladire-istorica,"Str. Cuza Vodă 4, Piața 14 Decembrie 1989",47.165092,27.581772,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Ia%C5%9Fi_%2C_Hotel_Continental.jpg/1280px-Ia%C5%9Fi_%2C_Hotel_Continental.jpg,,"{""author"":""Argenna"",""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Iaşi_,_Hotel_Continental.jpg""}",IS-II-m-B-03840
"Casa Alecu Balș, Str. Cuza Vodă 29",,casa-alecu-bals-str-cuza-voda-29-iasi,,,Iași,Iași,cladire-istorica,"Str. Cuza Vodă 29",47.164366,27.585049,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/25/Casa_Alecu_Bal%C8%99_%281%29.jpg/1280px-Casa_Alecu_Bal%C8%99_%281%29.jpg,,"{""author"":""Manole Alexandru"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Casa_Alecu_Balș_(1).jpg""}",IS-II-m-B-03846.02
"Casă, Str. Elena Doamna 39",,casa-str-elena-doamna-39-iasi,,"monument istoric din municipiul Iași",Iași,Iași,cladire-istorica,"Str. Elena Doamna 39",47.16127,27.59615,,,,,,,IS-II-m-B-03865
"Parc, Bd. Carol I 6",,parc-bd-carol-i-6-iasi,,,Iași,Iași,parc-gradina,"Bd. Carol I 6",47.172466,27.574567,,,,,,,IS-II-m-B-03780.02
"Observator Astronomic, Strada Mihail Sadoveanu Nr. 5",,observator-astronomic-strada-mihail-sadoveanu-nr-5-iasi,,"observator astronomic",Iași,Iași,cladire-istorica,"Strada Mihail Sadoveanu Nr. 5",47.1930835,27.5555472,,,,,,,IS-II-m-B-04017
"Grădinița „Sf. Nicolae”, Str. Uzinei 68",,gradinita-sf-nicolae-str-uzinei-68-iasi,,,Iași,Iași,parc-gradina,"Str. Uzinei 68",47.160905,27.579175,,,,,,,IS-II-m-B-04087
"Cazarma Copou",,cazarma-copou-iasi,,,Iași,Iași,cladire-istorica,,47.180883957523,27.565435768793,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/Barracks_of_Copou_1.jpg/1280px-Barracks_of_Copou_1.jpg,,"{""author"":""Argenna"",""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0"",""source"":""https://commons.wikimedia.org/wiki/File:Barracks_of_Copou_1.jpg""}",IS-II-m-B-20187
"Casa Buicliu, azi Biblioteca județeană „Gh. Asachi”",,casa-buicliu-azi-biblioteca-judeteana-gh-asachi-iasi,,,Iași,Iași,cladire-istorica,"Str. Păcurari 29",47.170731,27.570923,,,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c7/Casa_Buicliu_1.jpg/1280px-Casa_Buicliu_1.jpg,,"{""author"":""Negrii Nicoleta"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Casa_Buicliu_1.jpg""}",IS-II-m-B-03977
"Casa Universitarilor din Iași",,casa-universitarilor-din-iasi-iasi,,"monument istoric din Iași",Iași,Iași,cladire-istorica,"Bd. Carol I 9",47.172761,27.573216,,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Casa-logofatului-nicolae-canta-casa-universitarilor.jpg,,"{""author"":""Aanicai"",""license"":""CC BY-SA 4.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/4.0"",""source"":""https://commons.wikimedia.org/wiki/File:Casa-logofatului-nicolae-canta-casa-universitarilor.jpg""}",IS-II-m-B-03782
"Mausoleul Grigore al III lea Ghica Vodă",,mausoleul-grigore-al-iii-lea-ghica-voda-iasi,,,Iași,Iași,monument,"Bd. Independenței 1",47.1680779,27.5824615,,,,,,,IS-IV-m-B-03914.12
